Fecha,Año ISO,Semana ISO,Provincia,Zona,Operación,Total Propiedades
22-02-2026,2026,8,Zamora,Tierra de Campos,alquiler,0
22-02-2026,2026,8,Navarra,Área de Pamplona,alquiler,0
22-02-2026,2026,8,Zaragoza,Área de Zaragoza,venta,2514
22-02-2026,2026,8,Zaragoza,Tarazona-El Moncayo,venta,183
22-02-2026,2026,8,Zaragoza,Ribera Baja del Ebro,venta,75
22-02-2026,2026,8,Zaragoza,Ribera Alta del Ebro,venta,191
22-02-2026,2026,8,Zaragoza,Monegros,venta,11
22-02-2026,2026,8,Zaragoza,La Muela-Valdejalón,venta,261
22-02-2026,2026,8,Zaragoza,Hoya de Huesca,venta,12
22-02-2026,2026,8,Zaragoza,Comunidad de Calatayud,venta,448
22-02-2026,2026,8,Zaragoza,Cinco Villas - Jacetania,venta,165
22-02-2026,2026,8,Zaragoza,Caspe,venta,123
22-02-2026,2026,8,Zaragoza,Campo de Daroca,venta,60
22-02-2026,2026,8,Zaragoza,Campo de Cariñena,venta,110
22-02-2026,2026,8,Zaragoza,Campo de Borja,venta,153
22-02-2026,2026,8,Zaragoza,Campo de Belchite,venta,53
22-02-2026,2026,8,Zaragoza,Mequinenza,venta,6
22-02-2026,2026,8,Zaragoza,Aranda,venta,112
22-02-2026,2026,8,Zaragoza,*(Toda la provincia)*,venta,4477
22-02-2026,2026,8,Zamora,Área de Zamora,venta,514
22-02-2026,2026,8,Zamora,Área de Sayago,venta,119
22-02-2026,2026,8,Zamora,Tierra del Vino - La Guareña,venta,95
22-02-2026,2026,8,Zamora,Tierra de Campos,venta,74
22-02-2026,2026,8,Zamora,Sanabria,venta,114
22-02-2026,2026,8,Zamora,Benavente,venta,270
22-02-2026,2026,8,Zamora,Aliste,venta,55
22-02-2026,2026,8,Zamora,Alfoz de Toro,venta,91
22-02-2026,2026,8,Zamora,*(Toda la provincia)*,venta,1332
22-02-2026,2026,8,Vizcaya,Uribe-Butroe,venta,329
22-02-2026,2026,8,Vizcaya,Lea-Artibai,venta,87
22-02-2026,2026,8,Vizcaya,Gran Bilbao,venta,2980
22-02-2026,2026,8,Vizcaya,Encartaciones,venta,169
22-02-2026,2026,8,Vizcaya,Duranguesado,venta,270
22-02-2026,2026,8,Vizcaya,Busturialdea,venta,231
22-02-2026,2026,8,Vizcaya,Arratia-Nervión,venta,152
22-02-2026,2026,8,Vizcaya,*(Toda la provincia)*,venta,4218
22-02-2026,2026,8,Valencia,Valencia,venta,4758
22-02-2026,2026,8,Valencia,Safor,venta,3242
22-02-2026,2026,8,Valencia,Ribera Baixa,venta,1338
22-02-2026,2026,8,Valencia,Ribera Alta,venta,2098
22-02-2026,2026,8,Valencia,Los Serranos,venta,248
22-02-2026,2026,8,Valencia,La Vall d'Albaida,venta,873
22-02-2026,2026,8,Valencia,La Plana d'Utiel,venta,271
22-02-2026,2026,8,Valencia,La Costera,venta,630
22-02-2026,2026,8,Valencia,La Canal de Navarrés,venta,151
22-02-2026,2026,8,Valencia,L'Horta Sud,venta,2202
22-02-2026,2026,8,Valencia,L'Horta Nord,venta,2005
22-02-2026,2026,8,Valencia,Hoya de Buñol,venta,565
22-02-2026,2026,8,Valencia,El Valle de Ayora,venta,139
22-02-2026,2026,8,Valencia,El Rincón de Ademuz,venta,40
22-02-2026,2026,8,Valencia,El Camp de Tùria,venta,1751
22-02-2026,2026,8,Valencia,Camp de Morvedre,venta,1302
22-02-2026,2026,8,Valencia,*(Toda la provincia)*,venta,21613
22-02-2026,2026,8,Valladolid,Área Metropolitana Valladolid,venta,1810
22-02-2026,2026,8,Valladolid,Tordesillas,venta,134
22-02-2026,2026,8,Valladolid,Tierra de Pinares,venta,281
22-02-2026,2026,8,Valladolid,Tierra de Medina,venta,375
22-02-2026,2026,8,Valladolid,Tierra de Campos,venta,130
22-02-2026,2026,8,Valladolid,*(Toda la provincia)*,venta,2730
22-02-2026,2026,8,Toledo,Área de Torrijos,venta,1205
22-02-2026,2026,8,Toledo,Toledo,venta,328
22-02-2026,2026,8,Toledo,Talavera de la Reina,venta,478
22-02-2026,2026,8,Toledo,Sierra de San Vicente,venta,174
22-02-2026,2026,8,Toledo,Los Montes de Toledo,venta,526
22-02-2026,2026,8,Toledo,La Sagra,venta,1606
22-02-2026,2026,8,Toledo,La Mesa de Ocaña,venta,349
22-02-2026,2026,8,Toledo,La Mancha,venta,599
22-02-2026,2026,8,Toledo,La Jara,venta,240
22-02-2026,2026,8,Toledo,La Campana de Oropesa,venta,238
22-02-2026,2026,8,Toledo,*(Toda la provincia)*,venta,5743
22-02-2026,2026,8,Teruel,Área de Teruel,venta,225
22-02-2026,2026,8,Teruel,Matarraña,venta,274
22-02-2026,2026,8,Teruel,Maestrazgo,venta,63
22-02-2026,2026,8,Teruel,Jiloca,venta,88
22-02-2026,2026,8,Teruel,Gúdar- Javalambre,venta,240
22-02-2026,2026,8,Teruel,Cuencas Mineras- Andorra-Bajo Martín,venta,196
22-02-2026,2026,8,Teruel,Bajo Aragón,venta,173
22-02-2026,2026,8,Teruel,Albarracín,venta,72
22-02-2026,2026,8,Teruel,*(Toda la provincia)*,venta,1331
22-02-2026,2026,8,Tarragona,Terra Alta,venta,125
22-02-2026,2026,8,Tarragona,Tarragonès,venta,3420
22-02-2026,2026,8,Tarragona,Ribera d'Ebre,venta,359
22-02-2026,2026,8,Tarragona,Priorat,venta,148
22-02-2026,2026,8,Tarragona,Montsià,venta,1311
22-02-2026,2026,8,Tarragona,Conca de Barberà,venta,242
22-02-2026,2026,8,Tarragona,Baix Penedès,venta,2671
22-02-2026,2026,8,Tarragona,Baix Ebre,venta,1694
22-02-2026,2026,8,Tarragona,Baix Camp,venta,2688
22-02-2026,2026,8,Tarragona,Alt Camp,venta,512
22-02-2026,2026,8,Tarragona,*(Toda la provincia)*,venta,13170
22-02-2026,2026,8,Soria,Área de Soria,venta,229
22-02-2026,2026,8,Soria,Pinares y Tierras Altas,venta,152
22-02-2026,2026,8,Soria,Burgo de Osma,venta,157
22-02-2026,2026,8,Soria,Almazán,venta,174
22-02-2026,2026,8,Soria,*(Toda la provincia)*,venta,712
22-02-2026,2026,8,Sevilla,Área de Estepa,venta,150
22-02-2026,2026,8,Sevilla,Área Metropolitana,venta,1704
22-02-2026,2026,8,Sevilla,Sierra norte,venta,580
22-02-2026,2026,8,Sevilla,Sevilla,venta,3298
22-02-2026,2026,8,Sevilla,La Vega,venta,631
22-02-2026,2026,8,Sevilla,La Marisma,venta,86
22-02-2026,2026,8,Sevilla,La Campiña,venta,1247
22-02-2026,2026,8,Sevilla,Aljarafe,venta,2233
22-02-2026,2026,8,Sevilla,*(Toda la provincia)*,venta,9929
22-02-2026,2026,8,Segovia,Área de Sepúlveda - Cantalejo,venta,300
22-02-2026,2026,8,Segovia,Área de Segovia,venta,828
22-02-2026,2026,8,Segovia,Área de Santa María Real de Nieva,venta,113
22-02-2026,2026,8,Segovia,Área de Riaza,venta,111
22-02-2026,2026,8,Segovia,Área de Cuéllar,venta,138
